,id,en_orig,zh_trans,en_bt,Clinical Risk,Accuracy,COMETSrcMetric
0,0,"Any changes in your vision, hearing or balance?",您的愿景，听力或平衡有任何变化吗？,"Is there any change in your vision, listening or balance?",clinically nonsignificant/no harm,No,0.093088627
1,1,"OK, it sounds like he has a sore throat that's been persistent and we can do this thing called the Centor score. So it looks like he has had a fever, no cough, a sore throat. ",好的，听起来他的喉咙酸痛，一直持续，我们可以做这件事称为Centor Score。因此，看来他发烧，没有咳嗽，喉咙痛。,"Okay, it sounds sore throat and it continues. We can do this called Centor Score. Therefore, it seems that he has a fever, no cough, and sore throat.",clinically nonsignificant/no harm,Yes,0.057023548
2,2,So the first thing that we want to check would be a strep throat and then well if that comes back negative we will go from there and think about other viral causes versus strep throat as well.,因此，我们要检查的第一件事就是链球菌的喉咙，然后如果那会恢复负面，我们将从那里开始，考虑其他病毒原因与链球菌性喉咙相比。,"Therefore, the first thing we want to check is the throat of the splitter, and then if the negative will be restored, we will start from there, considering the cause of other virus compared with the minococcal throat.",clinically nonsignificant/no harm,Yes,0.070165977
3,3,Any coughs or any symptoms of runny nose or anything like that?,有咳嗽或流鼻涕的任何症状或类似的症状吗？,Are there any symptoms or similar symptoms of cough or runny nose?,clinically nonsignificant/no harm,Yes,0.110136442
4,4,"Have you had any changes to your bowel movements such as diarrhea or constipation, incontinence?",您的排便运动（例如腹泻或便秘，尿失禁）是否有任何变化？,"Is there any change in your bowel movement (such as diarrhea or constipation, urinary incontinence)?",clinically nonsignificant/no harm,Yes,0.119894117
5,5,"Apart from your back, any kind of joint or muscle pain anywhere else in your body?",除了您的背部，您体内其他任何地方的关节疼痛或肌肉疼痛吗？,"Except for your back, is the joint pain or muscle pain in other parts of your body?",clinically nonsignificant/no harm,Yes,0.100542069
6,6,"That's great. And, in regards to her hurt hip, any other past medical history?",那太棒了。而且，关于她受伤的髋关节，其他过去的病史吗？,"That's great. Moreover, is the other past medical history about her injured hip joint?",clinically nonsignificant/no harm,Yes,0.071509771
7,7,Do you notice any kind of swelling or bruising?,您是否注意到任何肿胀或瘀伤？,Do you notice any swelling or bruises?,clinically nonsignificant/no harm,Yes,0.122939371
8,8,"I want to do a work up for his symptoms right now for breathing heavily. With the fever that's concerning for a type of infection and with being under three months it would warrant some investigations. So we'd want to check, do some blood tests. ",我现在想为他的症状做一个工作，以激烈呼吸。由于发烧有关一种感染的发烧，并且不到三个月的发烧将需要进行一些调查。因此，我们想检查，进行一些血液检查。,"I now want to do a job for his symptoms to breathe fiercely. Due to a fever about a kind of infection, and a fever in less than three months, some investigations will be carried out. Therefore, we want to check for some blood tests.",clinically nonsignificant/no harm,No,0.042013004
9,9,We will also check his cerebrospinal fluid as well to make sure that there's no infection in the brain and we can go from there?,我们还将检查他的脑脊液，以确保大脑没有感染，我们可以从那里去吗？,We will also check his cerebrospinal fluid to ensure that the brain is not infected. Can we go there?,clinically nonsignificant/no harm,No,0.089556746
10,10,So it seems progressive and you're getting some pain in your other joints as well and it's mainly from your middle to lower back. It can be multiple things that we would have to rule out.,因此，这似乎是进步的，您也会在其他关节中遭受一些痛苦，主要是从中间到下背部。我们可能必须排除的多件事。,"Therefore, this seems to be progressing, and you will suffer some pain in other joints, mainly from the middle to the lower back. We may have to rule out multiple things.",clinically significant/life-threatening,No,0.066131048
11,11,"First, you have a family history of psoriasis so it can be psoriatic arthritis. You don't have any other skins, changes or any other symptoms.",首先，您有牛皮癣的家族史，因此可以是银屑病关节炎。您没有其他皮肤，变化或任何其他症状。,"First of all, you have a family history of psoriasis, so you can be psoriasis arthritis. You have no other skin, change or any other symptoms.",clinically nonsignificant/no harm,Yes,0.077913545
12,12,It can also be gastroenteritis since you have had a you were sick for months . It can be sometimes something called reactive arthritis - where you get this progressive pain in your joints and stiffness.,由于您已经生病了几个月，也可能是胃肠炎。有时可能是一种称为反应性关节炎的东西 - 您可以在关节和僵硬中获得这种渐进式疼痛。," Since you have been sick for a few months, you may also be gastroenteritis. Sometimes it may be a thing called reactive arthritis -you can get such gradual pain in joints and stiffness.",clinically nonsignificant/no harm,Yes,0.070024632
13,13,"And otherwise it can also be something called ankylosing spondylitis, which can present in men your age and it's kind of like a progressive, dull back pain and that has some morning stiffness as well. There's definitely multiple things that it can be. ",否则，它也可能是一种称为强直性脊柱炎的东西，它可以在您的年龄中出现，这就像一种渐进的，暗淡的背痛，也有一些早晨的僵硬。肯定会有多件事。,"Otherwise, it may also be a kind of things called an anum of spinalitis. It can appear in your age. This is like a gradual, dim back pain, and some morning rigidity. There must be many things.",clinically significant/life-threatening,No,0.044312466
14,14,"So, first we would need to do a full physical examination and book an appointment or for that in person. And we will get some lab work done as well, as well as a X Ray of the of the spine and your sacroiliac joints. ",因此，首先，我们需要进行全面的身体检查，并亲自预约预约。我们还将完成一些实验室的工作，以及脊柱和您的s骨关节的X射线。,"Therefore, first of all, we need to conduct a comprehensive physical examination and make an appointment in person. We will also complete the work of some laboratories, as well as X -rays of the spine and your S -bone joint.",clinically nonsignificant/no harm,Yes,0.057084039
15,15,"We'll also get some blood work with CBC, CRP and ESR. Those are just inflammatory markers as well as the rheumatoid factor antinuclear antibodies. ",我们还将与CBC，CRP和ESR一起进行一些血液检查。这些只是炎症标记以及类风湿因子抗核抗体。,"We will also perform some blood tests with CBC, CRP and ESR. These are just inflammatory marks and rheumatoid factors antibody antibodies.",clinically nonsignificant/no harm,Yes,0.08073961
16,16,Those are just some things that will test for different kind of rheumatological issues and to see if you have any arthritis.,这些只是一些可以测试不同类型的流变学问题并查看您是否患有关节炎的事情。,These are just some of the flow -learning problems that can test different types and check if you are suffering from joint inflammation.,clinically significant/life-threatening,No,0.103725001
17,17,Then will also get an X Ray of your hands and knees since you're having pain there as well. Those are some steps that we'll take. Do you have any questions or concerns?,然后，由于您也在那里疼痛，因此还将获得X射线和膝盖。这些是我们将采取的一些步骤。您有任何疑问或疑虑吗？,"Then, because you are also painful there, you will also get X -rays and knees. These are some steps we will take. Do you have any questions or doubts?",clinically nonsignificant/no harm,No,0.060371574
